,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
0,What You Know,Tourist History,Two Door Cinema Club,2010-02-17,191706,70,0.561,0.000715,0.561,0.741,1.4e-05,0.0822,-4.239,0.0419,139.001,4,2
1,Pumped Up Kicks,Torches,Foster The People,2011-05-23,239600,84,0.733,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4,2
2,Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-02,218013,80,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4,2
3,1901,Wolfgang Amadeus Phoenix,Phoenix,2009-05-25,193106,67,0.591,0.0605,0.591,0.831,4.67e-05,0.19,-5.647,0.0415,144.084,4,2
4,Hard Times,After Laughter,Paramore,2017-05-12,182693,72,0.695,0.00647,0.695,0.818,4.87e-06,0.0219,-5.379,0.0334,119.965,4,2
5,Kids,Oracular Spectacular,MGMT,2007-12-14,302840,78,0.451,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,122.961,4,2
6,Electric Feel,Oracular Spectacular,MGMT,2007-12-14,229640,77,0.763,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04,3,2
7,"Say It, Just Say It",Waiting For The Dawn,The Mowgli's,2013-01-01,200080,0,0.517,0.0656,0.517,0.804,0.0,0.157,-5.101,0.0572,157.974,4,2
8,Pretty Face,Let's Remake It,PUBLIC,2015-03-24,230786,0,0.538,0.00235,0.538,0.89,0.0,0.354,-3.193,0.0489,143.022,4,2
9,Out of My League,More Than Just a Dream,Fitz and The Tantrums,2013-05-07,209386,69,0.545,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965,4,2
10,Weak,The Click,AJR,2017-06-09,201159,0,0.67,0.134,0.67,0.578,0.0,0.19,-6.343,0.0464,124.006,4,2
11,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,84,0.64,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,116.879,4,2
12,Straight Lines,Young Modern,Silverchair,2007-03-30,257733,7,0.538,0.0275,0.538,0.641,0.00149,0.11,-6.582,0.0287,127.505,4,2
13,I Can't Handle Change,I Can't Handle Change,Roar,2010-03-14,198213,82,0.247,0.0455,0.247,0.438,0.000871,0.111,-8.479,0.0358,185.716,3,2
14,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,203346,81,0.542,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,4,2
15,Walking On A Dream,Walking On A Dream (10th Anniversary Edition),Empire of the Sun,2008-10-03,198440,78,0.871,0.257,0.871,0.701,7.52e-06,0.0589,-5.594,0.0458,126.975,4,2
16,A-Punk,Vampire Weekend,Vampire Weekend,2008-01-27,137760,4,0.551,0.0102,0.551,0.821,0.0438,0.153,-4.489,0.0539,174.923,4,2
17,Talk Too Much,How Will You Know If You Never Try,COIN,2017-04-21,187133,73,0.598,0.00947,0.598,0.888,0.0,0.347,-5.119,0.0807,103.966,4,2
18,My Type,My Type,Saint Motel,2014-06-17,206393,64,0.596,0.0641,0.596,0.897,5.24e-05,0.0628,-2.94,0.0462,118.0,4,2
19,Naive,Inside In / Inside Out,The Kooks,2006-01-01,203506,74,0.391,0.0759,0.391,0.808,0.0,0.149,-6.209,0.0892,100.304,4,2
20,Everybody Talks,Picture Show,Neon Trees,2012-01-01,177280,82,0.471,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,4,2
21,Home,Up from Below,Edward Sharpe & The Magnetic Zeros,2009-07-14,303200,69,0.542,0.292,0.542,0.589,0.000522,0.177,-6.623,0.0318,111.665,4,2
22,Island In The Sun,Weezer (Green Album),Weezer,2001-05-15,200306,77,0.654,0.00719,0.654,0.81,0.00251,0.165,-6.26,0.0288,114.623,4,2
23,Silvertongue,Home of the Strange,Young the Giant,2016-08-12,197426,63,0.673,0.00975,0.673,0.789,0.0,0.752,-4.288,0.0408,100.043,4,2
24,Truth Hurts,Cuz I Love You (Deluxe),Lizzo,2019-05-03,173325,66,0.715,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,158.087,4,2
25,Painkiller,Painkiller,Ruel,2019-04-30,213597,62,0.675,0.105,0.675,0.414,0.0,0.192,-6.508,0.0569,128.927,4,2
26,Talk,Talk,Khalid,2019-02-07,197487,71,0.9,0.0501,0.9,0.4,0.0,0.0876,-8.443,0.124,136.001,4,2
27,Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,196133,67,0.549,0.0127,0.549,0.932,0.0,0.347,-4.11,0.343,82.439,4,2
28,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,83,0.818,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4,2
29,Move Your Feet,D-D-Don't Don't Stop the Beat,Junior Senior,2002-04-03,181826,67,0.747,0.046,0.747,0.904,0.106,0.203,-2.623,0.0803,118.877,4,2
30,Through and Through,Through and Through,khai dreams,2017-12-04,113684,0,0.852,0.383,0.852,0.424,0.0,0.0843,-9.308,0.0463,94.934,4,2
31,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,80,0.727,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4,2
32,Are You Gonna Be My Girl,Get Born,Jet,2003-09-15,213800,76,0.613,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,4,2
33,Primadonna,Electra Heart (Deluxe),MARINA,2012-04-30,221075,69,0.66,0.0884,0.66,0.689,0.0,0.0922,-2.671,0.0337,127.98,4,2
34,Shine On Top,Where the Light Is,Surfaces,2019-01-06,145454,55,0.808,0.137,0.808,0.754,0.0,0.14,-4.99,0.171,82.547,4,2
35,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,79,0.878,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,2
36,Sunday Morning,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,244880,71,0.608,0.0913,0.608,0.768,0.0,0.0629,-5.227,0.0475,88.059,4,2
37,Life is a Highway,Me And My Gang,Rascal Flatts,2006-01-01,276320,75,0.582,0.00324,0.582,0.952,0.0,0.223,-3.848,0.0731,103.027,4,2
38,Best Friend,Best Friend,Rex Orange County,2017-01-25,262231,79,0.575,0.395,0.575,0.714,0.0,0.115,-5.247,0.0596,144.982,4,2
39,Gettin' Jiggy Wit It,Big Willie Style,Will Smith,1997-10-03,227933,71,0.881,0.0175,0.881,0.874,1.14e-06,0.154,-4.505,0.139,107.891,4,2
40,Fader,Conditions (Tour Edition),The Temper Trap,2009,192373,0,0.532,0.000101,0.532,0.76,0.69,0.0752,-7.123,0.0353,134.974,4,2
41,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1985,238733,77,0.596,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,4,2
42,Don't Worry Be Happy,This Is... 1988,Various Artists,2008-08-11,291666,0,0.639,0.889,0.639,0.372,0.000101,0.184,-12.493,0.165,67.505,4,2
43,Three Little Birds,Exodus (Deluxe Edition),Bob Marley & The Wailers,1977-01-03,180266,77,0.814,0.0111,0.814,0.482,1.57e-06,0.0476,-10.493,0.0588,148.404,4,2
44,Love On Top,4,Beyoncé,2011-06-24,267413,75,0.652,0.0849,0.652,0.748,0.0,0.604,-5.242,0.0887,94.1,4,2
45,I'm a Believer,The Best of The Monkees,The Monkees,2003,165613,57,0.502,0.595,0.502,0.772,2.47e-06,0.199,-6.205,0.0322,79.463,4,2
46,All Star,All Star Smash Hits,Smash Mouth,2005-01-01,200560,0,0.73,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,4,2
47,Lollipop,Life In Cartoon Motion,MIKA,2007-01-01,183533,0,0.7,0.0376,0.7,0.623,1.03e-05,0.133,-5.351,0.0789,95.992,4,2
48,Best I Ever Had,So Far Gone,Drake,2009-01-01,257760,0,0.427,0.219,0.427,0.861,0.0,0.277,-4.874,0.376,161.776,4,2
49,Keep Your Head Up,Andy Grammer,Andy Grammer,2011,190493,0,0.671,0.0455,0.671,0.773,0.0,0.0876,-5.225,0.0373,90.012,4,2
50,I.F.L.Y.,Soul Searching,Bazzi,2019-08-09,165714,77,0.812,0.379,0.812,0.519,0.0,0.13,-4.823,0.0385,104.954,4,2
51,You & Me,Gossip Columns,Marc E. Bassy,2017-10-13,218493,66,0.449,0.0413,0.449,0.635,0.0,0.188,-8.301,0.275,84.414,4,2
52,Paradise,Soul Searching,Bazzi,2019-08-09,169038,77,0.844,0.0828,0.844,0.644,0.0,0.113,-6.273,0.0479,122.061,4,2
53,Stockholm Syndrome,FOUR (Deluxe),One Direction,2014-11-17,214720,68,0.678,0.0734,0.678,0.933,0.0,0.0863,-4.959,0.14,120.572,4,2
54,New Light,New Light,John Mayer,2018-05-10,216014,28,0.828,0.325,0.828,0.689,0.0384,0.0808,-7.878,0.0326,123.931,4,2
55,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,177666,76,0.815,0.223,0.815,0.518,0.0,0.104,-6.594,0.0897,151.891,4,2
56,Sunkissed,Now and Then,khai dreams,2019-10-11,126464,0,0.768,0.592,0.768,0.354,0.0,0.399,-9.484,0.0539,153.97,4,2
57,Marlboro Nights,Marlboro Nights,Lonely God,2018-06-28,68522,0,0.466,0.00237,0.466,0.823,0.000321,0.332,-6.635,0.311,175.797,4,2
58,8TEEN,American Teen,Khalid,2017-04-27,228600,77,0.83,0.225,0.83,0.585,0.00209,0.0576,-5.802,0.0366,105.03,4,2
59,Honeypie,Honeypie,JAWNY,2019-04-25,135521,0,0.742,0.0698,0.742,0.678,0.0,0.151,-4.605,0.192,115.05,4,2
60,Undercover Martyn,Tourist History,Two Door Cinema Club,2010-02-17,167773,66,0.442,0.00025,0.442,0.872,1.74e-05,0.0602,-5.072,0.123,159.867,4,2
61,New Flesh,Wild Heart,Current Joys,2013-01-02,167986,75,0.62,0.887,0.62,0.594,0.5,0.0917,-16.066,0.0383,165.861,4,2
62,Take a Walk,Gossamer,Passion Pit,2012-07-23,264493,70,0.566,0.0338,0.566,0.755,0.0,0.315,-5.526,0.0368,101.006,4,2
63,Electric Love,Dopamine,BØRNS,2015-10-16,218106,83,0.611,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,4,2
64,Feels Like We Only Go Backwards,Lonerism,Tame Impala,2012-01-01,192960,75,0.303,0.0277,0.303,0.9,0.635,0.11,-2.352,0.0574,149.508,4,2
65,Loving Is Easy,Loving Is Easy,Rex Orange County,2017-10-11,155720,76,0.756,0.217,0.756,0.609,0.00474,0.096,-7.927,0.0544,117.023,4,2
66,Junk Of The Heart (Happy),Junk Of The Heart,The Kooks,2011-01-01,187253,65,0.604,0.0212,0.604,0.894,0.0,0.0299,-5.0,0.037,145.017,4,2
67,Sunflower,Sunflower,Rex Orange County,2017-03-22,252230,78,0.384,0.646,0.384,0.765,0.00352,0.522,-4.463,0.0579,129.903,4,2
68,24 / 7 / 365,Surf,Surfaces,2017-12-03,177000,65,0.752,0.264,0.752,0.65,1.38e-06,0.313,-6.194,0.0334,141.16,4,2
69,Dissolve,Thousand Peaces,Absofacto,2017-11-03,224660,71,0.688,0.23,0.688,0.582,0.000157,0.0663,-10.668,0.0542,85.486,4,2
70,I Like It Like That (feat. New Boyz),Whatever,Hot Chelle Rae,2011-11-25,188200,65,0.742,0.0308,0.742,0.784,0.0,0.354,-5.458,0.0552,101.002,4,2
71,Time of Our Lives,Globalization,Pitbull,2014-11-21,229360,81,0.721,0.0921,0.721,0.802,0.0,0.694,-5.797,0.0583,124.022,4,2
72,The Way You Make Me Feel - Single Version,The Essential Michael Jackson,Michael Jackson,2005-07-19,266346,58,0.738,0.0498,0.738,0.811,0.000167,0.102,-6.035,0.182,171.76,3,2
73,I Want You Back,Diana Ross Presents The Jackson 5,The Jackson 5,1969-12-18,176333,0,0.639,0.29,0.639,0.548,9.68e-05,0.366,-13.534,0.0394,98.359,4,2
74,Untouched,Hook Me Up (US Version),The Veronicas,2007-10-30,255360,65,0.557,0.0171,0.557,0.783,0.0172,0.151,-4.893,0.234,177.008,4,2
75,Can't Sleep Love,Pentatonix (Deluxe Version),Pentatonix,2015-10-16,173053,60,0.73,0.0849,0.73,0.433,0.0,0.169,-7.05,0.0455,94.596,4,2
76,Cherry Cola,Cherry Cola,Kuwada,2018-02-09,184360,64,0.777,0.764,0.777,0.635,2.25e-06,0.155,-6.323,0.0392,138.04,4,2
77,Corduroy Dreams,Bcos U Will Never B Free,Rex Orange County,2016-11-07,206974,73,0.608,0.653,0.608,0.305,0.0,0.103,-14.037,0.053,113.818,4,2
78,Music Sounds Better With You,Music Sounds Better With You,Stardust,1998-07-20,403293,69,0.735,0.00105,0.735,0.72,0.15,0.382,-7.04,0.336,124.174,4,2
79,Fall in Love (feat. Ciscero),Fall in Love (feat. Ciscero),GoldLink,2016-08-26,184571,53,0.627,0.058,0.627,0.837,0.000567,0.328,-7.162,0.36,105.105,4,2
80,Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day (Int'l Version),Kid Cudi,2009-01-01,295293,71,0.627,0.497,0.627,0.589,7.05e-05,0.324,-9.056,0.0405,115.284,4,2
81,You And Me Song,Skellefteå,The Wannadies,1998-06-01,170573,39,0.326,0.00481,0.326,0.373,0.0,0.0731,-8.447,0.0384,144.812,4,2
82,Cool & Calm,Yours To Keep,Sticky Fingers,2019-02-08,197814,59,0.567,0.203,0.567,0.779,7.23e-05,0.268,-6.417,0.0504,83.994,4,2
83,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,251488,82,0.645,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067,4,2
84,Funny Thing,It Is What It Is,Thundercat,2020-04-03,116630,74,0.586,0.827,0.586,0.893,0.642,0.212,-8.772,0.439,140.023,3,2
85,There She Goes,The La's,The La's,1990,162186,69,0.533,0.013,0.533,0.761,0.829,0.207,-10.632,0.0298,122.777,4,2
86,Photo ID,I'm Allergic To Dogs!,Remi Wolf,2020-06-24,265263,68,0.822,0.111,0.822,0.66,0.0,0.143,-3.637,0.0819,113.956,4,2
87,Stargazing,Chip Chrome & The Mono-Tones (Deluxe),The Neighbourhood,2020-12-11,217026,76,0.512,0.00304,0.512,0.483,0.0011,0.12,-7.798,0.0298,160.009,4,2
88,Dazed,Peach Tinted,peach tinted,2021-05-28,156150,30,0.697,0.633,0.697,0.531,0.67,0.438,-12.347,0.036,120.682,4,2
89,Fall into the Pool with Me,Fall into the Pool with Me,Frantic Memories,2021-06-25,179622,26,0.528,0.00029,0.528,0.683,0.00104,0.231,-8.925,0.0439,158.923,4,2
90,Mrs. Officer,Tha Carter III,Lil Wayne,2008-06-10,286906,67,0.92,0.236,0.92,0.553,0.0,0.0767,-5.068,0.191,112.022,5,2
91,1 Thing,Touch,Amerie,2005,238760,63,0.612,0.107,0.612,0.961,4.17e-05,0.0413,-3.078,0.333,129.873,5,2
92,"Dance, Baby!",Roy Pablo,boy pablo,2017-05-19,198000,71,0.602,0.037,0.602,0.601,0.0046,0.312,-8.521,0.0411,122.017,4,2
93,T-Shirt Weather,Young Chasers (Deluxe),Circa Waves,2015-03-30,194288,65,0.415,0.00126,0.415,0.95,3.86e-05,0.133,-4.676,0.0621,160.017,4,2
94,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,68,0.636,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,113.98,4,2
95,blind,our little angel - EP,ROLE MODEL,2020-10-21,153293,72,0.765,0.141,0.765,0.663,0.000297,0.0924,-5.223,0.0652,150.091,4,2
