,name,album,artist,release_date,length,popularity,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
0,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,82,6,0,0.243,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4,1
1,ghostin,"thank u, next",Ariana Grande,2019-02-08,271466,69,9,1,0.11,0.287,0.418,0.364,1.8e-05,0.185,-8.295,0.0306,103.777,4,1
2,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,74,5,1,0.476,0.681,0.64,0.372,0.0,0.169,-8.237,0.0432,91.873,4,1
3,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80,0,1,0.12,0.421,0.952,0.131,0.00453,0.109,-18.435,0.0382,137.446,4,1
4,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,8,0,0.291,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4,1
5,This City,This City,Sam Fischer,2019-12-11,194853,81,11,1,0.519,0.605,0.733,0.377,0.0,0.0808,-6.213,0.0443,73.877,4,1
6,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,75,0,0,0.129,0.376,0.0902,0.43,0.0,0.0912,-6.585,0.0328,77.599,3,1
7,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,87,4,0,0.12,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4,1
8,July,July,Noah Cyrus,2019-07-31,156106,2,9,0,0.321,0.708,0.868,0.186,0.0,0.0779,-8.953,0.0422,72.541,4,1
9,Selfish,Selfish,Madison Beer,2020-02-14,223270,69,9,1,0.233,0.375,0.627,0.461,0.0,0.386,-6.202,0.0279,75.217,4,1
10,Mind Is A Prison,Mind Is A Prison,Alec Benjamin,2019-12-12,162033,1,5,0,0.694,0.637,0.527,0.661,0.0,0.18,-5.217,0.05,151.148,4,1
11,tear myself apart,all the things i never said,Tate McRae,2020-01-24,165240,52,9,0,0.324,0.488,0.212,0.498,0.0,0.117,-6.895,0.0274,85.985,4,1
12,Moral of the Story,Moral of the Story,Ashe,2019-02-14,201083,76,10,1,0.265,0.572,0.587,0.406,4.48e-06,0.102,-8.624,0.0427,119.812,4,1
13,Out Of Love,The Pains Of Growing,Alessia Cara,2018-11-30,227693,76,7,1,0.137,0.481,0.8,0.267,0.0,0.249,-9.249,0.0339,117.64,3,1
14,"Wondering - From ""High School Musical: The Musical: The Series""","Wondering (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-12,225381,66,6,1,0.221,0.469,0.808,0.444,0.0,0.0932,-7.064,0.0396,129.385,4,1
15,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,4,1,0.0592,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,1
16,Be Alright,A Place We Knew,Dean Lewis,2019-03-22,196493,75,11,1,0.493,0.551,0.705,0.537,0.0,0.0802,-7.595,0.034,126.421,4,1
17,Water Fountain,Narrated For You,Alec Benjamin,2018-11-16,218893,82,8,1,0.551,0.723,0.388,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,4,1
18,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,84,3,1,0.183,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,1
19,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,82,4,1,0.198,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,1
20,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,82,4,1,0.0978,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,1
21,Leaves From The Vine,Leaves From The Vine,Lofi Fruits Music,2020-03-20,114937,28,10,1,0.0391,0.344,0.966,0.0257,0.877,0.13,-27.667,0.0358,140.228,4,1
22,Grow As We Go,Sing To Me Instead,Ben Platt,2019-03-29,249426,68,8,1,0.437,0.458,0.882,0.137,0.0,0.15,-14.083,0.0355,80.824,4,1
23,Main Hoon Na(Sad),Main Hoon Na,Anu Malik,2004-02-27,255493,42,5,1,0.38,0.578,0.219,0.482,0.0,0.55,-10.503,0.0378,139.831,4,1
24,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,86,4,1,0.0823,0.667,0.785,0.373,0.0,0.0906,-9.389,0.05,124.148,4,1
25,Blue & Grey,BE,BTS,2020-11-20,254950,76,8,1,0.364,0.547,0.42,0.605,0.0,0.125,-6.755,0.0415,121.953,4,1
26,Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,74,8,1,0.46,0.539,0.0063,0.846,1.68e-06,0.13,-3.192,0.0354,106.992,4,1
27,The Truth Untold,Love Yourself 轉 'Tear',BTS,2018-05-18,242292,72,1,0,0.169,0.57,0.372,0.422,0.0,0.127,-7.561,0.0422,113.007,4,1
28,Awake,Wings,BTS,2016-10-10,226160,67,3,1,0.339,0.357,0.023,0.498,1.99e-06,0.269,-6.589,0.0332,142.816,4,1
29,I Need U,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,210577,70,5,0,0.642,0.475,0.0184,0.897,0.0,0.296,-2.383,0.0736,78.918,4,1
30,Epiphany,Love Yourself 結 'Answer',BTS,2018-08-24,240361,75,2,0,0.327,0.509,0.29,0.558,0.0,0.131,-6.369,0.0276,135.879,4,1
31,Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,77,3,1,0.149,0.462,0.495,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,4,1
32,Heartbeat (BTS World Original Soundtrack),BTS WORLD (Original Soundtrack),Various Artists,2019-06-28,253303,71,5,1,0.307,0.437,0.39,0.716,0.0,0.208,-4.306,0.05,170.094,4,1
33,Out Of Love with You,Out Of Love with You,Avery Lynch,2020-12-18,220285,55,8,1,0.266,0.643,0.935,0.219,2.07e-05,0.0899,-9.932,0.0379,140.071,3,1
34,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,93,0,1,0.297,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,1
35,Arcade,Small Town Boy (Track By Track),Duncan Laurence,2020-11-12,185146,76,9,0,0.279,0.453,0.827,0.35,0.00122,0.144,-11.639,0.0425,72.017,3,1
36,Easy On Me,Easy On Me,Adele,2021-10-14,224694,100,5,1,0.13,0.604,0.578,0.366,0.0,0.133,-7.519,0.0282,141.981,4,1
37,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,2021-11-18,598150,73,0,1,0.189,0.585,0.838,0.286,0.0,0.115,-10.123,0.0312,93.009,4,1
38,Love Is A Game,30,Adele,2021-11-19,403044,81,10,0,0.228,0.269,0.453,0.591,0.000695,0.0702,-5.79,0.0416,183.793,4,1
39,Missing You Sucks,Missing You Sucks,Clara Mae,2021-11-19,178024,51,0,1,0.38,0.336,0.596,0.516,0.0,0.0871,-6.756,0.069,179.849,3,1
40,People Watching,People Watching,Conan Gray,2021-07-15,158536,80,5,1,0.538,0.53,0.385,0.593,0.0,0.314,-7.286,0.0545,125.723,4,1
41,To Be Loved,30,Adele,2021-11-19,403961,83,8,1,0.289,0.356,0.843,0.176,0.0,0.231,-8.291,0.0391,170.425,1,1
42,Year From Now,Subject To Change,Katelyn Tarver,2021-11-12,138586,50,2,1,0.491,0.715,0.752,0.35,0.0,0.157,-9.103,0.0506,109.854,4,1
43,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,258812,85,0,1,0.446,0.606,0.817,0.377,0.0,0.154,-9.455,0.0275,101.96,4,1
44,Life of the Party,Life of the Party,Sofia Mills,2021-11-19,256092,41,7,1,0.202,0.56,0.419,0.327,6.87e-06,0.0831,-8.815,0.0264,78.004,4,1
