,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
0,6m59VvDUi0UQsB2eZ9wVbH,6,0,0.775,0.84,0.00195,0.56,0.00417,0.633,-10.53,0.21,111.815,4,261853
1,7j5TIXPi0cCbSSqItmbyZy,6,1,0.304,0.748,0.00348,0.84,0.00647,0.44,-7.701,0.0421,115.997,4,317080
2,0gLQ6jhJsyYfl7PrD1RZ7X,5,1,0.355,0.256,0.433,0.464,0.0,0.121,-10.959,0.0382,205.362,3,209293
3,3wNXqTMimmuTEj1iEPftC7,5,0,0.41,0.792,0.786,0.411,0.00212,0.0499,-12.384,0.033,101.976,4,322173
4,6BjqF9DTiAubeE34grUKVq,1,1,0.383,0.727,0.077,0.528,0.0,0.344,-8.771,0.0585,96.934,4,304373
5,1gmSaCrVZBjK8Na7dsThXv,5,0,0.512,0.602,0.00356,0.907,1.06e-06,0.0727,-5.628,0.0529,144.034,4,279720
6,1sUTfgduT0WIQO8kXKXxLC,7,1,0.429,0.55,0.0564,0.618,2.62e-05,0.0937,-9.822,0.0307,78.61,4,335240
7,6pNvKPvOknI5zI4o9TB43f,10,0,0.693,0.725,0.119,0.783,2.18e-06,0.354,-6.139,0.037,107.82,4,272533
8,18QpSu4VH85xAVms1cBoRO,10,1,0.18,0.532,0.139,0.532,0.0,0.0952,-9.787,0.0295,140.478,4,254373
9,1ZtzjvhIcLoogzOpt4rKoa,10,0,0.6,0.886,0.0145,0.78,2.96e-06,0.0453,-10.78,0.102,124.778,4,217143
10,7z38bideBRvGAgjXe2SECm,1,1,0.933,0.783,0.0337,0.842,2.57e-06,0.0519,-8.838,0.054,117.79,4,265373
11,5HAv1Ckfe50DUjv8ghwTrz,1,1,0.701,0.806,0.0259,0.954,0.000617,0.176,-6.741,0.0514,115.229,4,283934
12,5YjKdeES9QRJ8NmF4Xc8pV,7,1,0.8,0.626,0.16,0.746,0.0,0.0618,-8.832,0.0282,102.896,4,310893
