,name,song_uri,artist_name,artist_id,year,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
0,My Sharona,1HOMkjp0nHMaTnfAkslCQj,The Knack,0Nn9YwJzcaeuU1jJL06e3r,1979,0,1,0.897,0.586,0.0589,0.7,0.00125,0.0318,-9.558,0.0363,147.245,4,295400
1,"Bad Girls - 12"" Version",3n48NtvOovv1UMTA41zxMn,Donna Summer,2eogQKWWoohI3BSnoG7E2U,1979,2,0,0.97,0.872,0.00839,0.873,0.00568,0.451,-6.824,0.0374,120.378,4,295126
2,Le Freak - Edit,6Lphpr9Z6H282Sguw0dUWa,CHIC,0Xf8oDAJYd2D0k3NLI19OV,1979,7,1,0.89,0.832,0.0422,0.553,0.00356,0.249,-13.705,0.0487,119.825,4,215693
3,Do Ya Think I'm Sexy,3wsPg2KrRYZFi0inIFa41x,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,1979,2,0,0.877,0.716,0.0107,0.465,0.000667,0.099,-15.205,0.0307,112.087,4,325813
4,Reunited,2Y18kxNc1F6Ut6t5eyKsRD,Peaches & Herb,6qI4LTzMRpTxRzMZPvv2C6,1979,5,0,0.346,0.607,0.614,0.462,8.42e-06,0.0724,-10.004,0.0287,75.752,4,340867
5,I Will Survive - Remastered,2DX0WG5OGLQLaXb41Cq1IA,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,1979,9,0,0.793,0.704,0.0346,0.631,0.0,0.159,-12.299,0.0398,123.286,4,295667
6,Hot Stuff,1EIpEt0iIma6mDr9B1Agox,Donna Summer,2eogQKWWoohI3BSnoG7E2U,1979,0,1,0.964,0.839,0.0111,0.906,0.0377,0.0767,-6.887,0.0332,120.342,4,315745
7,Y.M.C.A,355qbpf35myn397wClXTg8,Village People,0dCKce6tJJdHvlWnDMwzPW,1979,6,1,0.73,0.694,0.0296,0.968,0.0,0.0493,-3.803,0.155,126.616,4,281120
8,Ring My Bell - Re-Recorded,7vvjYyzTMFJVsDRiqNkY5g,Anita Ward,3Dd6jD1AApgtNoU6SJWR7P,1979,5,1,0.974,0.773,0.0843,0.617,0.000952,0.0653,-12.933,0.0356,125.06,4,230880
9,Sad Eyes - Remastered,3w3rLh6wmne91BS2rwgcog,Robert John,3pbKylceBTiUa0fZk4J4sJ,1979,0,1,0.687,0.431,0.599,0.463,0.00282,0.132,-7.342,0.0268,107.19,3,253213
10,Too Much Heaven - 2009 Remastered Version,7rhoAJWAWAyHwSEdH3jqYy,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,1979,6,1,0.289,0.492,0.339,0.55,5.4e-05,0.684,-8.841,0.0484,166.527,4,295547
11,MacArthur Park - Single Version,3yIF4ZfaHPnPxG8tDPoNls,Donna Summer,2eogQKWWoohI3BSnoG7E2U,1979,4,0,0.465,0.573,0.0817,0.672,0.000752,0.0601,-12.296,0.0406,131.054,4,235200
12,When You're In Love With A Beautiful Woman,5hZEoJNMf6VGaKQ177GQKv,Dr. Hook,2Mhi3jfuRSdbVZPdjqsnnN,1979,8,1,0.782,0.653,0.266,0.742,0.000355,0.129,-9.902,0.0397,110.71,4,173493
13,Makin' It (Re-Recorded),035Ag6mdG1EWFZvgdnK8lK,David Naughton,6vFCfSDEGGjyLpkMa1YhBE,1979,0,1,0.926,0.882,0.0475,0.562,0.374,0.0338,-7.67,0.0368,129.99,4,189583
14,Fire,3Cq40B2ilP5sPp0Qi9HskR,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,1979,1,1,0.666,0.731,0.168,0.547,3.22e-05,0.108,-11.149,0.0424,118.203,4,206467
15,Tragedy - 2009 Remastered Version,0zGvSirIs0OfXOgBBAGNW3,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,1979,2,1,0.777,0.677,0.0444,0.618,0.031,0.432,-6.866,0.0264,118.4,4,302067
