,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,0.567,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4
1,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,42,0.585,0.721,0.585,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4
2,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,86,0.667,0.785,0.667,0.373,0.0,0.0906,-9.389,0.05,124.148,4
3,Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,2019-06-28,197732,80,0.629,0.768,0.629,0.328,2.5e-05,0.103,-8.284,0.029,74.953,4
4,Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER,2019-11-13,176971,79,0.541,0.882,0.541,0.153,1.66e-06,0.16,-10.654,0.0303,139.644,4
5,Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,82,0.311,0.701,0.311,0.485,0.0,0.0726,-5.726,0.0365,77.355,4
6,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,92,0.38,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4
7,Before You Go,Before You Go,Lewis Capaldi,2019-11-19,215106,78,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4
8,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,81,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4
9,Hold On,Hold On,Chord Overstreet,2017-02-03,198853,0,0.608,0.484,0.608,0.448,0.0,0.0804,-9.572,0.0513,120.084,4
10,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,78,0.498,0.511,0.498,0.59,0.0,0.107,-4.721,0.032,145.867,4
11,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,0.357,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078,3
12,Arcade,Arcade,Duncan Laurence,2019-03-07,183624,83,0.45,0.818,0.45,0.329,0.00109,0.135,-12.603,0.0441,71.884,3
13,It's Ok If You Forget Me,It's Ok If You Forget Me,Astrid S,2020-09-18,204989,70,0.562,0.526,0.562,0.379,0.0,0.151,-7.625,0.231,171.848,4
14,"I miss you, I’m sorry","I miss you, I’m sorry",Gracie Abrams,2020-04-08,167538,1,0.617,0.734,0.617,0.451,1.56e-06,0.128,-6.096,0.0481,109.757,4
15,Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,206458,22,0.505,0.576,0.505,0.34,0.0,0.21,-9.005,0.0438,101.993,4
16,i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,2020-05-08,184505,72,0.535,0.771,0.535,0.359,0.0,0.111,-9.343,0.0607,154.163,4
17,Are you happy?,Sad Songs,SHY Martin,2020-08-07,157555,68,0.632,0.714,0.632,0.578,0.0,0.42,-7.657,0.0905,139.324,4
18,that way - with Jeremy Zucker,that way (with Jeremy Zucker),Tate McRae,2021-09-03,174299,70,0.394,0.573,0.394,0.398,0.0,0.313,-10.202,0.219,78.438,3
19,Make It To Me,In The Lonely Hour (Deluxe Edition),Sam Smith,2014-01-01,162732,0,0.453,0.635,0.453,0.377,1.8e-06,0.099,-8.466,0.0896,149.95,4
20,Unlearn (with Gracie Abrams),Unlearn (with Gracie Abrams),benny blanco,2021-03-24,155361,67,0.429,0.897,0.429,0.214,0.0,0.105,-12.261,0.242,77.849,4
21,Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,2019-05-03,205686,69,0.688,0.443,0.688,0.53,0.0,0.0995,-5.507,0.0333,106.958,4
22,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,88,0.351,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,4
23,Wrong Direction,Wrong Direction,Hailee Steinfeld,2020-01-01,248986,0,0.378,0.472,0.378,0.388,0.0,0.157,-9.017,0.036,72.293,4
24,A Little Bit Yours,A Little Bit Yours,JP Saxe,2020-09-02,225680,68,0.598,0.735,0.598,0.295,0.0,0.107,-8.553,0.0276,87.025,4
25,Sorry,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,220540,0,0.447,0.912,0.447,0.257,0.0,0.117,-9.172,0.0394,136.87,1
26,Julia,~how i'm feeling~,Lauv,2020-03-06,218000,61,0.458,0.906,0.458,0.13,0.0,0.152,-14.575,0.0807,162.487,3
27,Fix It to Break It,Fix It to Break It,Clinton Kane,2020-03-27,198798,68,0.493,0.845,0.493,0.461,0.0,0.115,-8.524,0.0456,51.414,4
28,Complicated,Complicated,Olivia O'Brien,2015-08-09,189000,73,0.657,0.694,0.657,0.355,0.000427,0.123,-12.044,0.0714,74.99,4
