,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
0,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,82,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,1
1,ghostin,"thank u, next",Ariana Grande,2019-02-08,271466,69,0.287,0.418,0.287,0.364,1.8e-05,0.185,-8.295,0.0306,103.777,4,1
2,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,74,0.681,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4,1
3,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80,0.421,0.952,0.421,0.131,0.00453,0.109,-18.435,0.0382,137.446,4,1
4,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,0.556,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4,1
5,This City,This City,Sam Fischer,2019-12-11,194853,81,0.605,0.733,0.605,0.377,0.0,0.0808,-6.213,0.0443,73.877,4,1
6,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,75,0.376,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,77.599,3,1
7,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,88,0.351,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,4,1
8,July,July,Noah Cyrus,2019-07-31,156106,2,0.708,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,72.541,4,1
9,Selfish,Selfish,Madison Beer,2020-02-14,223270,69,0.375,0.627,0.375,0.461,0.0,0.386,-6.202,0.0279,75.217,4,1
10,Mind Is A Prison,Mind Is A Prison,Alec Benjamin,2019-12-12,162033,1,0.637,0.527,0.637,0.661,0.0,0.18,-5.217,0.05,151.148,4,1
11,tear myself apart,all the things i never said,Tate McRae,2020-01-24,165240,52,0.488,0.212,0.488,0.498,0.0,0.117,-6.895,0.0274,85.985,4,1
12,Moral of the Story,Moral of the Story,Ashe,2019-02-14,201083,76,0.572,0.587,0.572,0.406,4.48e-06,0.102,-8.624,0.0427,119.812,4,1
13,Out Of Love,The Pains Of Growing,Alessia Cara,2018-11-30,227693,76,0.481,0.8,0.481,0.267,0.0,0.249,-9.249,0.0339,117.64,3,1
14,"Wondering - From ""High School Musical: The Musical: The Series""","Wondering (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-12,225381,66,0.469,0.808,0.469,0.444,0.0,0.0932,-7.064,0.0396,129.385,4,1
